Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Дерегус,Аарон,Петрович,Ч,2002-08-13,Літературознавець,хутір Вишневе,"провулок Балтський 3-й, буд. 307, Інкерман, 71174",011 933 57 72,iaremales@example.com
Журба,Ганна,Вікторівна,Ж,1985-02-24,Стоматолог,село Самбір,"проспект Волова, буд. 2, Феодосія, 64666",736-40-23,wdemianiuk@example.net
Годунок,Дарина,Дмитрівна,Ж,1946-07-31,Графік,село Балаклія,"набережна Косовська, буд. 262, Володимир-Волинський, 08169",+380 97 406 42 64,danyliukvolodymyr@example.net
Сич,Вікторія,Вікторівна,Ж,1988-04-07,Епідеміолог,селище Дружківка,"вулиця Шостої 2-й, буд. 10, Бучач, 14717",836 28 57,kpetliura@example.com
Яремчук,Мартин,Дмитрович,Ч,2007-09-04,Етнограф,місто Скадовськ,"площа Олександра Богомольця, буд. 108, Інкерман, 03122",260 54 18,ldubenko@example.net
Тихий,Гордій,Григорович,Ч,1964-01-04,Єгер,селище Павлоград,"узвіз Чубаївський, буд. 20, Чигирин, 71206",+380 04 640-99-68,tereshchenkoklyment@example.com
Павличенко,Едуард,Сергійович,Ч,2006-04-20,Патологоанатом,місто Благовіщенське,"провулок Кобзаря, буд. 2 кв. 91, Полтава, 99486",079 431-85-16,xivashchenko@example.net
Притула,Ліза,Тарасівна,Ж,1963-08-25,Художник,місто Борщів,"набережна Саймона Літмана, буд. 7, Херсон, 94880",036 787-97-66,savenkosofiia@example.net
Карась,Дарина,Григорівна,Ж,1972-10-24,Математик,місто Новоград-Волинський,"набережна Василя Кандинського 4-й, буд. 1, Нове Давидково, 73348",+380 (15) 357-24-92,nadiia96@example.com
Колодуб,Валентина,Степанівна,Ж,1985-09-26,Прокурор,хутір Докучаєвськ,"площа Морська, буд. 21, Радивилів, 04731",+380 15 543-10-53,myron74@example.net
Мазур,Франц,Олегович,Ч,1964-12-01,Державний службовець,хутір Балта,"парк Перша, буд. 691, Теребовля, 30427",+380 43 895-60-41,dkarpenko@example.com
Шаблій,Богдан,Олександрович,Ч,1985-10-26,М'ясник,село Білозерське,"парк Саксаганського, буд. 11 кв. 5, Камінь-Каширський, 44789",901 83 51,sbevz@example.com
Данько,Любов,Богданівна,Ж,1965-12-08,Електротехнік,хутір Пологи,"провулок Нафтовиків, буд. 307, Комарно, 50624",+380 (61) 784-85-89,protsenkobohdan@example.org
Їжак,Арсен,Дмитрович,Ч,2009-06-28,Стоматолог,село Гайворон,"узвіз Приморський, буд. 246 кв. 42, Ізмаїл, 05185",+380 (10) 950-53-52,marynalukash@example.com
Овчаренко,Маруся,Богданівна,Ж,2003-06-10,Кінокритик,селище Торецьк,"провулок Десята, буд. 666 кв. 293, Щастя, 71259",+380 21 544-46-47,spaszharko@example.org
Романчук,Онисим,Іванович,Ч,1961-02-08,Футболіст,село Судова Вишня,"узвіз Василя Кандинського 4-й, буд. 32 кв. 5, Вознесенівка, 23203",+380 09 906 05 23,bakumenkoiakiv@example.com
Ніколюк,Леон,Романович,Ч,2010-02-02,Фармацевт,село Канів,"шосе Волтона, буд. 72 кв. 175, Вашківці, 77250",+380 52 447-86-47,okseniia50@example.com
Закусило,Амалія,Леонідівна,Ж,1963-07-02,Клавішник,місто Канів,"сквер Опішнянський, буд. 60, Носівка, 42952",+380 61 523 34 19,drozdenkoazar@example.net
Кибкало,Ростислав,Тарасович,Ч,2007-08-07,Золотар,місто Слов'янськ,"набережна Сумський, буд. 206, Старобільськ, 35461",374 51 42,illia14@example.net
Червоненко,Григорій,Іванович,Ч,1967-04-27,Конструктор,місто Прип'ять,"сквер Килимова, буд. 03, Узин, 68457",+380 (96) 961-55-46,ishchakrozaliia@example.net
Дзиндра,Едита,Григорівна,Ж,2000-03-07,Диригент,хутір Люботин,"узвіз Басейний 4-й, буд. 2, Липовець, 27175",037 514 51 03,shvachkoklyment@example.com
Ярема,Макар,Григорович,Ч,2010-04-15,Випробувач,хутір Білгород-Дністровський,"провулок Кастуся Калиновського, буд. 402, Трускавець, 46574",+380 27 649-24-24,zakharpavlychenko@example.org
Ґалаґан,Віталій,Олегович,Ч,1958-12-23,Дизайнер,село Камінь-Каширський,"парк Косий, буд. 9 кв. 68, Чуднів, 55680",+380 29 383-04-37,pbazavluchenko@example.org
Гаврилишин,Сергій,Романович,Ч,1998-02-16,Художник,селище Сокологірськ,"узвіз Мацієвської узвіз, буд. 51 кв. 08, Чистякове, 90668",017 992-13-18,lzakharchenko@example.org
Ісаєнко,Вадим,Григорович,Ч,1965-05-01,Акушер,місто Миронівка,"сквер Молокова, буд. 742 кв. 178, Носівка, 23935",+380 89 358 62 18,dmytrorak@example.org
Приймак,Олесь,Вікторович,Ч,1963-11-07,Піаніст,селище Рудки,"сквер Ширяївський, буд. 58, Глобине, 28106",006 267-44-14,rozaliia23@example.com
Усик,Демʼян,Олегович,Ч,1953-02-14,Дипломат,місто Болград,"узвіз Діхтієвського Віктора, буд. 8, Кальміуське, 89862",022 338-32-20,valentynradchenko@example.com
Єрошенко,Веніямин,Євгенович,Ч,1953-01-28,Палеонтолог,селище Молочанськ,"парк Мерло, буд. 95, Берестин, 06542",+380 (62) 773-87-47,wshevchenko@example.org
Шеремета,Ілля,Романович,Ч,1958-06-09,Літературознавець,село Бережани,"сквер 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 2, Краматорськ, 16842",483-93-65,albina75@example.net
Кащенко,Соломон,Максимович,Ч,1964-12-15,Громадський діяч,село Хоростків,"вулиця Лінія 31-ша, буд. 35, Бердичів, 37686",035 079 66 92,orlyktetiana@example.net
Наливайко,Андрій,Леонідович,Ч,1988-08-23,Фермер,село Дніпро,"парк 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 78, Черкаси, 63652",315 68 13,demianieromenko@example.net
Засенко,Хома,Васильович,Ч,1967-02-16,М'ясник,хутір Дергачі,"узвіз Павлова, буд. 3, Шостка, 29185",+380 76 399 96 91,mariia74@example.com
Забарний,Марко,Тарасович,Ч,2008-09-12,Музикант,селище Ржищів,"вулиця Андрія Сови, буд. 354, Вільнянськ, 39143",+380 66 046 88 54,lahodaveniiamyn@example.com
Іщенко,Богданна,Олександрівна,Ж,1973-05-22,Фармацевт,село Львів,"провулок Небесної Сотні, буд. 73, Нова Одеса, 97949",+380 27 148 55 12,sheremetalevko@example.net
Андрієвич,Єлисей,Олегович,Ч,2011-08-28,Правник,хутір Бережани,"шосе Діхтієвського Віктора, буд. 8 кв. 67, Калуш, 04789",+380 (54) 230-07-95,parmen96@example.net
Тарасенко,Марʼяна,Іванівна,Ж,1966-01-22,Математик,селище Кам'янське,"сквер Лїнія 1-ша, буд. 946, Свалява, 89611",+380 (13) 111-42-01,bakumenkoalla@example.net
Ковалюк,Дмитро,Олегович,Ч,1991-11-15,Композитор,село Івано-Франківськ,"набережна Андрія Музичка, буд. 58 кв. 083, Вашківці, 13749",081 324 53 50,iukhym46@example.net
Масляк,Варфоломій,Романович,Ч,1947-10-14,Будник,місто Щолкіне,"сквер Охтирський, буд. 454, Львів, 99694",098 482 97 84,olha08@example.net
Приходько,Борис,Іванович,Ч,1977-02-26,Електрик,село Новоукраїнка,"парк Вапняне селище, буд. 867, Горішні Плавні, 56254",+380 00 896-06-92,alytvynenko@example.org
Савенко,Панас,Леонідович,Ч,1977-02-02,Електрик,село Кальміуське,"вулиця Амбулаторний 2-й, буд. 84 кв. 185, Новий Розділ, 43807",926-65-28,nesterenkoolena@example.net
Бандера,Анастасія,Тарасівна,Ж,1976-05-13,Няня,хутір Тараща,"площа Кривобалківська, буд. 8 кв. 9, Белз, 89558",055 186-72-84,qkolodub@example.net
Редько,Остап,Степанович,Ч,1966-06-16,Євнух,місто Нове Давидково,"проспект Лютеранський, буд. 6 кв. 012, Охтирка, 30897",061 235 68 76,eduardvalenko@example.net
Олійник,Надія,Євгенівна,Ж,1979-07-26,Флорист,селище Очаків,"вулиця Василя Берладяну, буд. 39 кв. 323, Алмазна, 66499",026 041-41-74,vadymshukhevych@example.net
Нестеренко,Пилип,Романович,Ч,1979-02-08,Бібліограф,хутір Славутич,"шосе Дністровська, буд. 21 кв. 65, Лубни, 76426",500-15-69,haievskavarfolomii@example.org
Гуцуляк,Максим,Ігорович,Ч,1968-11-20,Фермер,місто Білопілля,"парк Перший Кришталевий, буд. 137 кв. 109, Хорол, 10856",500 15 98,paliizakhar@example.net
Ісаєвич,Златослава,Вікторівна,Ж,1974-05-01,Бібліотекар,селище Боярка,"парк Андрія Музичка, буд. 7 кв. 2, Рогатин, 93010",+380 96 955-09-63,panchukhavrylo@example.org
Чубай,Василь,Юрійович,Ч,1963-11-17,Хімік,селище Новий Буг,"набережна Володимира Хавкіна, буд. 6 кв. 126, Лисичанськ, 87834",+380 46 424-89-17,horobets@example.net
Малик,Валентин,Вікторович,Ч,2001-11-19,Соціолог,хутір Біляївка,"набережна Петра Лещенка, буд. 6 кв. 643, Шахтарське, 33717",007 222-78-87,anzheladanylenko@example.net
Якимчук,Орися,Олегівна,Ж,1985-07-21,Конструктор,місто Суми,"провулок Бодаревського, буд. 871, Андрушівка, 61393",+380 60 250-32-35,dneporozhnii@example.com
Товстуха,Йосип,Васильович,Ч,2007-05-02,Кінокритик,селище Лубни,"узвіз Вишневий, буд. 3, Луцьк, 49493",386 02 24,iakivarkhypenko@example.org
Жученко,Сніжана,Іванівна,Ж,2010-09-18,Кінорежисер,місто Вознесенівка,"набережна Могилівська, буд. 1 кв. 2, Хоростків, 21452",+380 57 631-69-13,vasylynafareniuk@example.org
Бевзенко,Симон,Євгенович,Ч,1971-01-01,Флорист,хутір Полтава,"парк Дачний, буд. 7, Деражня, 93200",+380 33 908-64-30,tkarmaliuk@example.org
Остапчук,Костянтин,Вікторович,Ч,1967-02-14,Біолог,хутір Алмазна,"проспект Старосінна, буд. 23 кв. 8, Старий Крим, 80358",088 981 54 92,artembandurka@example.org
Стець,Віктор,Вікторович,Ч,1974-12-04,Гірничий інженер,місто Іллінці,"проспект Пiвденний, буд. 33, Золочів, 94343",+380 (54) 800-62-66,bohuslavdrozdenko@example.com
Рева,Святослава,Євгенівна,Ж,1957-04-02,Антрополог,хутір Олешки,"площа Андросовський, буд. 5 кв. 66, Покров, 14421",001 822 15 12,gtaran@example.org
Яремчук,Вадим,Петрович,Ч,1956-05-02,Математик,хутір Сновськ,"сквер Черешнева, буд. 4, Токмак, 71911",658 79 57,irvanetsorysia@example.org
Баштан,Олег,Іванович,Ч,1955-07-23,Біолог,село Чортків,"провулок Трибуни героїв, буд. 2 кв. 17, Снятин, 32756",+380 18 968-03-89,nazar01@example.net
Власюк,Алевтин,Іванович,Ч,1951-08-05,Геофізик,хутір Федорівка,"набережна Садова 1-ша, буд. 11, Жовті Води, 02701",694-99-47,iukhymandriienko@example.net
Гавриленко,Ярослав,Григорович,Ч,1994-05-26,Педагог,селище Буча,"парк Волтона, буд. 0, Довжанськ, 17166",869-15-11,avashchenko@example.org
Свистун,Валерій,Миколайович,Ч,1956-05-09,Льотчик,селище Ланівці,"проспект Цегельнозаводська, буд. 1, Овруч, 15329",+380 (86) 081-42-67,bohodar43@example.net
Піддубний,Зорян,Григорович,Ч,1997-10-10,Кінокритик,хутір Білогірськ,"вулиця Монгольська, буд. 7 кв. 614, Рожище, 27100",+380 00 921 97 43,lkonoplia@example.com
Петренко,Мирон,Леонідович,Ч,1947-07-14,Патологоанатом,місто Гуляйполе,"узвіз Госпітальний, буд. 1 кв. 1, Кропивницький, 80177",+380 46 738-91-38,fbevz@example.com
Яковенко,Аніта,Петрівна,Ж,1956-01-29,Золотар,місто Богуслав,"набережна Василя Кандинського 2-й, буд. 166 кв. 20, Середина-Буда, 30225",219 82 41,ostapchukhavrylo@example.com
Гаврюшенко,Олександр,Олександрович,Ч,2011-12-24,Продюсер,хутір Радомишль,"набережна Скляний 1-й, буд. 72, Жданівка, 94627",059 422-49-43,kylymnykklyment@example.com
Андрієвич,Олександр,Ігорович,Ч,2006-03-20,Актор,хутір Жашків,"узвіз Тарутинська, буд. 915, Жашків, 53009",+380 (49) 131-88-05,holykruslan@example.org
Власенко,Остап,Миколайович,Ч,1955-09-04,Історик,селище Корсунь-Шевченківський,"вулиця Французький, буд. 9, Люботин, 43976",056 518-33-33,oleksandrdzhus@example.org
Чуйко,Лариса,Олегівна,Ж,1981-09-28,Клавішник,місто Баштанка,"провулок Світла, буд. 72, Соледар, 19425",+380 24 819-89-60,bohuslav44@example.net
Артеменко,Соломон,Тарасович,Ч,1990-08-01,Паралегал,хутір Умань,"сквер Левадна, буд. 72, Калуш, 14107",088 596 74 57,tierchenko@example.net
Штепа,Емілія,Леонідівна,Ж,1948-01-18,Науковець,місто Кальміуське,"сквер Північний, буд. 1, Яремче, 67924",460 58 30,corobets@example.net
Гаврилишин,Данна,Євгенівна,Ж,1976-03-15,Мовознавець,хутір Бахчисарай,"вулиця Онілової, буд. 78 кв. 1, Обухів, 20794",057 854-78-41,xchaban@example.org
Удовенко,Опанас,Іванович,Ч,1983-07-20,Живописець,місто Нове Давидково,"шосе Жоліо-Кюрі, буд. 21, Синельникове, 11030",+380 16 128-18-82,demydiurchyshyn@example.org
Зінкевич,Віолетта,Євгенівна,Ж,1987-06-07,Промисловець,селище Бар,"проспект Чернігівський, буд. 9 кв. 9, Белз, 85892",041 215 49 79,adamenkoiarema@example.org
Петрик,Теодор,Дмитрович,Ч,1998-10-12,Льотчик,селище Верхньодніпровськ,"провулок Кощового отамана, буд. 1 кв. 09, Горлівка, 69414",027 240-32-83,frantsiurchenko@example.com
Рубан,Григорій,Максимович,Ч,1959-02-23,Фармацевт,село Дубляни,"сквер Восьмого березня 1-й, буд. 8, Яготин, 81836",067 300-46-65,amaliia80@example.net
Алексійчук,Богдан,Васильович,Ч,1981-02-13,Кушнір,селище Жидачів,"провулок Героїв Зміїного, буд. 40, Роздільна, 87496",020 052 13 56,korpaniukboryslav@example.net
Сагаль,Богуслава,Євгенівна,Ж,1950-07-31,Етнограф,село Буринь,"сквер 10-та Лінія Марії Демченко, буд. 55 кв. 881, Броди, 49116",+380 (01) 509-26-65,vasylynatymchuk@example.com
Ярош,Орися,Ігорівна,Ж,1960-08-20,Музичний редактор,хутір Коломия,"площа Республіканська, буд. 17, Біляївка, 54198",+380 61 042 11 16,anzhelasirko@example.org
Корбут,Данило,Тарасович,Ч,1993-03-21,Астроном,місто Джанкой,"набережна Хаджибейський 2-й, буд. 329, Авдіївка, 32017",+380 37 407-26-87,anton93@example.com
Удовиченко,Єлисей,Сергійович,Ч,1955-12-28,Машиніст,селище Армянськ,"парк Лобачевського, буд. 94, Зміїв, 70392",038 340-06-90,venedykt03@example.org
Ящук,Вікторія,Степанівна,Ж,1967-03-02,Електрослюсар,селище Балаклія,"площа Балтський 3-й, буд. 7 кв. 03, Слов'янськ, 29190",+380 76 809 76 13,zhuravelbohuslava@example.net
Коваленко,Максим,Юрійович,Ч,2010-04-17,Лікар,село Лубни,"вулиця 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 33, Угнів, 29673",+380 62 982-21-40,hohol-ianovskyizorian@example.com
Артим,Олександр,Петрович,Ч,2007-10-08,Мікробіолог,місто Апостолове,"набережна Садовий, буд. 6, Звенигородка, 54150",+380 91 289-96-16,valentyn34@example.org
Аврамчук,Камілла,Іванівна,Ж,1968-02-08,Психолог,село Фастів,"шосе Ромський, буд. 2, Борислав, 14586",108-83-81,ksvystun@example.org
Охримович,Демʼян,Тарасович,Ч,1956-09-18,Золотар,місто Очаків,"площа Безіменний, буд. 9 кв. 870, Звенигородка, 21291",042 729 31 98,ibarannyk@example.net
Акуленко,Борис,Вікторович,Ч,1952-11-23,Стоматолог,село Яготин,"шосе Лиманчик 2-й Лінія 8-ма, буд. 94 кв. 636, Боярка, 08105",+380 78 897-56-33,redkoviktor@example.com
Гаврилишина,Одарка,Ігорівна,Ж,1982-03-16,Ювелір,хутір Керч,"площа Івана Микитенка, буд. 038 кв. 10, Хмільник, 52123",995-34-91,amaliiamoskal@example.org
Рябець,Августин,Ігорович,Ч,1979-10-04,Співак,село Ямпіль,"набережна Орликова, буд. 483, Тячів, 73923",+380 75 142-03-49,amasokha@example.org
Гавришкевич,Костянтин,Дмитрович,Ч,1991-07-21,Краєзнавець,хутір Радивилів,"проспект Наявний 2-й, буд. 8, Ужгород, 65681",056 623-58-73,danylo15@example.com
Абраменко,Михайло,Леонідович,Ч,1984-01-19,Кухар,місто Лутугине,"площа Матроська Слободка , буд. 987 кв. 7, Баранівка, 04507",+380 30 058-66-11,iaroslav25@example.com
Зубко,Орина,Василівна,Ж,1954-04-21,Геофізик,хутір Нетішин,"сквер Жолкова Бориса, буд. 033 кв. 6, Торецьк, 55049",+380 32 074 53 71,npalii@example.org
Балабан,Веніямин,Ігорович,Ч,1947-11-14,Слідчий,хутір Сіверськ,"площа Пересипська 1-ша, буд. 09, Лебедин, 34022",+380 96 789 47 22,varvara02@example.org
Копитко,Василь,Тарасович,Ч,1977-09-12,Флорист,місто Чорнобиль,"вулиця Поперечний, буд. 206, Дружківка, 34094",054 477-61-86,tychynavalerii@example.net
Ткач,Юстим,Романович,Ч,2001-07-07,Живописець,селище Луцьк,"провулок Авіаційна, буд. 3 кв. 651, Севастополь, 71666",+380 56 826-68-41,emiliiaabrahamovskyi@example.net
Авдєєнко,Златослава,Романівна,Ж,1952-12-05,Журналіст,село Олевськ,"провулок Розкидайлівська, буд. 7 кв. 035, Вознесенівка, 01821",489-01-92,iustynadanko@example.com
Вишиваний,Богуслав,Сергійович,Ч,1978-12-09,Детектив,село Мукачево,"набережна Четверта, буд. 8, Шахтарськ, 89475",126 89 70,jaleksandrenko@example.net
Колесниченко,Юхим,Олександрович,Ч,1970-08-10,Гірничий інженер,село Білозерське,"узвіз Профспілкова, буд. 3 кв. 48, Новоград-Волинський, 31509",+380 77 020-49-34,nataliia11@example.org
Луценко,Віра,Василівна,Ж,1970-03-23,Доцент,село Нова Каховка,"вулиця Пастера, буд. 9, Березівка, 87396",+380 (88) 727-75-20,qtsiutsiura@example.com
Шморгун,Миколай,Юрійович,Ч,2001-01-15,Доцент,хутір Рівне,"шосе Путьова, буд. 30 кв. 74, Острог, 71189",+380 12 831-82-80,davydenkoprokhir@example.org
Рябовіл,Едуард,Васильович,Ч,1959-06-16,Фармацевт,місто Алупка,"парк Велика Арнаутська, буд. 81, Боярка, 12025",401 01 38,havrylonehoda@example.org
Малишко,Петро,Богданович,Ч,1975-09-24,Геолог,селище Вугледар,"площа Віталія Нестеренка, буд. 0, Старий Самбір, 27823",+380 46 874-43-28,avhustynvakulenko@example.net
Дергач,Єлисей,Дмитрович,Ч,2000-08-25,Професор,селище Вознесенівка,"шосе Обліпихова, буд. 98 кв. 084, Тлумач, 44178",072 520 61 80,bohuslavaaleksiuk@example.com
Ткаченко,Богуслав,Богданович,Ч,1951-07-05,Фармацевт,місто Київ,"провулок Заводська 2-га, буд. 5 кв. 696, Носівка, 03523",+380 89 565-54-33,filipenkozakhar@example.org
Бездітко,Феофан,Романович,Ч,1977-11-01,Лікар,селище Борзна,"сквер Долинська, буд. 983 кв. 700, Новоазовськ, 31473",+380 99 192 17 60,sviatoslava53@example.org
Рак,Камілла,Сергіївна,Ж,1958-07-16,Єгер,місто Бахчисарай,"проспект Сирітський, буд. 16 кв. 889, Яворів, 46449",075 181-08-43,venedykt57@example.com
Дробʼязко,Хома,Васильович,Ч,2010-09-27,Актор,село Гайсин,"проспект Степана Олійника узвіз, буд. 710, Шахтарськ, 69803",+380 38 884-79-28,khmarasolomon@example.net
Медведенко,Прохір,Миколайович,Ч,1975-11-15,Археолог,хутір Буча,"вулиця Лінійний, буд. 335 кв. 73, Радехів, 29712",064 709 99 54,ivanieremenko@example.org
Скорик,Єлисей,Максимович,Ч,1951-08-30,Електромонтажник,село Бунге,"набережна Садиковська, буд. 47, Теребовля, 51923",+380 85 279-90-00,semenisaievych@example.net
Литвин,Валерій,Петрович,Ч,1982-05-05,Дизайнер,хутір Ямпіль,"парк Виїзна, буд. 9, Славутич, 55949",+380 43 590-91-37,ihortsymbaliuk@example.com
Ажажа,Камілла,Юріївна,Ж,1998-06-15,Локсмайстер,селище Устилуг,"сквер Чернігівський, буд. 96, Кіцмань, 82793",953-16-12,varvara92@example.net
Матвієнко,Соломон,Романович,Ч,1950-09-04,Реставратор,місто Харцизьк,"набережна Асташкіна, буд. 41 кв. 08, Стрий, 42177",+380 63 336-22-76,roksolanaavdieienko@example.com
Гресь,Мілена,Максимівна,Ж,1998-11-10,Хореограф,селище Часів Яр,"шосе Цукровий, буд. 3 кв. 888, Здолбунів, 49001",+380 00 032 25 10,yvyshniak@example.com
Даценко,Юстим,Васильович,Ч,1952-03-25,Гінеколог,хутір Ізяслав,"провулок Ткачова, буд. 93 кв. 8, Люботин, 31311",833 20 86,unikoliuk@example.net
Сірченко,Василь,Максимович,Ч,1955-09-26,Науковець,місто Черкаси,"вулиця Лазурний 4-й, буд. 4 кв. 81, Бахмач, 22256",663-40-84,uaverchenko@example.net
Терещук,Христина,Романівна,Ж,1946-03-05,Хореограф,місто Самар,"парк Дальницька, буд. 55, Ізяслав, 86610",032 296-10-21,panas82@example.com
Барабаш,Едуард,Богданович,Ч,1964-03-02,Кіноактор,село Заводське,"шосе Манежний, буд. 3 кв. 81, Кремінна, 75283",000 765 48 15,jrudko@example.com
Макаренко,Устим,Петрович,Ч,1961-09-07,Економіст,село Винники,"провулок Цукровий, буд. 05, Сновськ, 74807",+380 (03) 794-55-12,ieroshenkoklyment@example.net
Романчук,Алла,Тарасівна,Ж,1969-11-02,Електрик,селище Верхівцеве,"узвіз Лінія 28-ма, буд. 94 кв. 473, Путивль, 07816",066 362 22 13,mverhun@example.com
Сиротенко,Спас,Вікторович,Ч,1958-04-19,Няня,хутір Старий Самбір,"вулиця Йосипа Фішера, буд. 51 кв. 1, Апостолове, 09083",508-72-19,boryslav60@example.net
Щербак,Соломія,Ігорівна,Ж,1952-11-15,Візажист,селище Валки,"узвіз Кільовий, буд. 55, Одеса, 18407",010 974-48-67,oleksa83@example.net
Лавренко,Гордій,Вікторович,Ч,2010-09-27,Кіноактор,селище Нове Давидково,"узвіз Миколи Огренича, буд. 02 кв. 103, Жашків, 86950",083 512 73 73,okseniia97@example.com
Баранець,Єфрем,Григорович,Ч,1949-11-05,Нотаріус,село Стрий,"сквер Ювілейний 2-й, буд. 99 кв. 16, Бучач, 41713",+380 41 281-58-73,arkhymovychbohodar@example.net
Андріїшин,Михайлина,Романівна,Ж,1970-08-15,Будник,місто Устилуг,"вулиця Флотський 3-й, буд. 13, Батурин, 85171",065 160 36 29,zkovalenko@example.com
Чайка,Богдан,Юрійович,Ч,1980-08-02,Письменник,місто Пустомити,"узвіз Ференца Ліста, буд. 7, Ланівці, 52378",031 378 54 53,oleksandrlevchenko@example.org
Бабариченко,Давид,Максимович,Ч,1957-04-23,Конструктор,місто Южне,"проспект Олени Теліги, буд. 759, Самбір, 92838",014 740-61-53,wgerega@example.com
Франко,Михайлина,Олександрівна,Ж,1974-02-22,Диригент,селище Біляївка,"шосе Платанова, буд. 6, Охтирка, 83324",066 850 34 96,demydvysochan@example.com
Чуприна,Ярослава,Вікторівна,Ж,1968-04-26,Математик,село Запоріжжя,"парк Лінія 44-та, буд. 18 кв. 61, Щолкіне, 72875",008 536 32 25,tkhorishko@example.com
Кириленко,Омелян,Богданович,Ч,1997-07-03,Конструктор,село Шостка,"площа Житомирська, буд. 249, Ходорів, 35089",+380 75 089 51 13,dchekaliuk@example.net
Щириця,Болеслав,Максимович,Ч,1955-02-15,Етнограф,хутір Мостиська,"провулок Лазурний 3-й, буд. 85 кв. 78, Брянка, 40178",+380 52 734-74-37,eokhrymovych@example.com
Александренко,Маруся,Іванівна,Ж,2009-10-22,Модель,місто Хрестівка,"парк Заводська 4-та, буд. 9, Міусинськ, 79419",072 042 06 20,bohuslavaeibozhenko@example.com
Бандурка,Владислав,Максимович,Ч,1972-10-02,Гірничий інженер,село Мелітополь,"площа Тарутинська, буд. 224 кв. 121, Вуглегірськ, 83509",099 981 61 57,lkhomyk@example.com
Закусило,Михайло,Романович,Ч,1970-03-04,Каскадер,хутір Ніжин,"проспект Хутірська, буд. 71, Тетіїв, 08227",022 478-76-88,artiushenkoanastasiia@example.net
Рак,Станіслав,Григорович,Ч,1989-12-25,Науковець,хутір Дунаївці,"вулиця Яна Длугоша, буд. 240 кв. 02, Нова Одеса, 80790",+380 07 658-79-68,fursoksana@example.org
Дейнека,Лариса,Іванівна,Ж,2010-03-18,Професор,місто Світловодськ,"набережна Миколи Кравченка, буд. 8 кв. 91, Дубляни, 48570",852-33-66,fsheremeta@example.com
Пушкар,Остап,Вікторович,Ч,1968-01-21,Краєзнавець,селище Щастя,"проспект Басейна, буд. 224, Олександрівськ, 93091",152-08-64,volodymyr87@example.org
Єсипенко,Феофан,Леонідович,Ч,1991-03-12,Клавішник,селище Попасна,"парк Пісочний, буд. 2 кв. 6, Берегове, 17149",+380 (28) 807-75-43,demianneporozhnii@example.com
Конопленко,Дарина,Василівна,Ж,1963-05-28,Мовознавець,селище Жидачів,"шосе Стороженка Олега, буд. 96, Амвросіївка, 10070",004 950-52-00,hcharnysh@example.net
Лемешко,Володимир,Петрович,Ч,1953-05-07,Будник,місто Острог,"узвіз Спаський, буд. 5 кв. 15, Скадовськ, 42482",+380 (29) 377-54-79,arkadiimykhaliuk@example.com
Каденюк,Ярослав,Олександрович,Ч,1974-04-16,Парфюмер,селище Перевальськ,"проспект Єфімова, буд. 56, Гірське, 25516",+380 52 727 24 46,volodymyraiaremenko@example.org
Данилюк,Хома,Степанович,Ч,1970-01-20,Швачка,селище Помічна,"провулок Санаторний, буд. 061 кв. 97, Вашківці, 13567",+380 14 223-55-43,teslenkosolomon@example.net
Кабаненко,Семен,Максимович,Ч,1970-10-16,Локсмайстер,хутір Липовець,"шосе Дніпропетровська дорога, буд. 39, Щолкіне, 73184",707-44-41,omelian65@example.org
Худяк,Віталій,Євгенович,Ч,1961-02-01,Композитор,місто Покров,"проспект 13-та ст. Великого Фонтану пляж, буд. 0, Олешки, 76292",032 891-71-23,andriienkoveniiamyn@example.com
Нестеренко,Амвросій,Романович,Ч,1963-05-08,Кухар,хутір Хотин,"парк Тепличний 1-й, буд. 31, Гайсин, 34003",006 058-52-06,spas17@example.com
Валенко,Михайлина,Романівна,Ж,1968-02-09,Дипломат,місто Носівка,"парк Дорожня, буд. 2, Барвінкове, 75714",+380 (50) 817-25-41,valentyn85@example.com
Вівчаренко,Онисим,Тарасович,Ч,1991-08-22,Державний службовець,селище Липовець,"проспект Менделе Сфоріма, буд. 503, Миронівка, 89805",639 02 98,veniiamynpelekh@example.org
Валенко,Федір,Григорович,Ч,1994-10-14,Кухар,місто Златопіль,"площа Кругова, буд. 0, Українськ, 89849",+380 16 679-63-60,tetianazakharenko@example.net
Ісаєнко,Веніямин,Євгенович,Ч,1957-06-12,Мовознавець,селище Маріуполь,"шосе Проектований 4-й, буд. 9 кв. 620, Кипуче, 97570",+380 03 965 13 16,serhiiovcharenko@example.com
Штокало,Святослав,Тарасович,Ч,1994-10-16,Гінеколог,село Південне,"шосе Шампанський, буд. 461 кв. 4, Суходільськ, 24951",+380 64 282 05 94,iurchyshynaoleksandr@example.com
Малишко,Петро,Олександрович,Ч,1950-07-07,Географ,хутір Решетилівка,"узвіз Володимира Хавкіна, буд. 60 кв. 16, Корець, 39215",040 012 47 81,babenkonataliia@example.com
Москаль,Азар,Миколайович,Ч,1947-04-29,Хореограф,місто Чугуїв,"вулиця Чигиринська, буд. 321 кв. 07, Бахмут, 15017",+380 (57) 662-47-84,artymyshyniaroslava@example.org
